"","z","y","y.0","y.1"
"1","ctl",-9.74049020484026,-9.74049020484026,-0.347524553910023
"2","ctl",5.64964366165094,5.64964366165094,5.62065794788748
"3","ctl",-2.63837700818571,-2.63837700818571,4.48299433970776
"4","ctl",2.41920436896907,2.41920436896907,0.245488107817532
"5","ctl",0.806866385711441,0.806866385711441,0.839873816935716
"6","ctl",4.01929835565008,4.01929835565008,7.30575672555231
"7","trt",-2.3997333626841,-1.69128789541698,-2.3997333626841
"8","ctl",0.187104452751469,0.187104452751469,4.32778765745082
"9","trt",6.22521586983692,5.60648109333955,6.22521586983692
"10","trt",-0.584015711691698,-5.32112898373594,-0.584015711691698
"11","ctl",-4.44129762040508,-4.44129762040508,0.583338733465073
"12","ctl",-1.51272972894898,-1.51272972894898,-0.269328304211135
"13","trt",8.50108080632428,5.29705452467799,8.50108080632428
"14","ctl",-2.77372673540935,-2.77372673540935,0.227196759115987
"15","trt",7.70520194012791,3.39492364986957,7.70520194012791
"16","trt",3.68223779695271,-2.79818713716222,3.68223779695271
"17","ctl",-0.152908305494408,-0.152908305494408,4.93458452858901
"18","ctl",-4.55965127238453,-4.55965127238453,-1.08625691441856
"19","ctl",0.599976962024434,0.599976962024434,-0.290306647188396
"20","ctl",7.84739726333466,7.84739726333466,11.2234535123171
"21","ctl",-2.06869781784708,-2.06869781784708,-1.69619191592156
"22","ctl",-4.03220011660337,-4.03220011660337,-5.74662588515589
"23","trt",1.0066009379377,0.74993162204762,1.0066009379377
"24","trt",9.34890589857722,1.16158059885159,9.34890589857722
"25","trt",5.67649370216674,0.916494347937378,5.67649370216674
"26","ctl",0.497696365752101,0.497696365752101,3.80397880715371
"27","ctl",-0.864758834277698,-0.864758834277698,5.07525968004416
"28","ctl",1.5717786979458,1.5717786979458,5.06138029779629
"29","ctl",7.05266710845541,7.05266710845541,4.81490595431256
"30","ctl",0.520219576975617,0.520219576975617,3.85137721173238
"31","ctl",-3.20879202097027,-3.20879202097027,3.49258805607642
"32","ctl",-9.00073270640742,-9.00073270640742,-3.493482731071
"33","trt",3.55838134534293,1.52693477072886,3.55838134534293
