"","z","y","y.0","y.1"
"1","trt",6.47662380417624,-1.31097418246312,6.47662380417624
"2","trt",7.20111162827075,-0.129073280741506,7.20111162827075
"3","ctl",0.471953509477848,0.471953509477848,4.68680816247659
"4","ctl",-0.755443617450057,-0.755443617450057,9.16404780610375
"5","ctl",0.339869062521754,0.339869062521754,4.96363288928302
"6","ctl",0.431862278332453,0.431862278332453,8.15605925439264
"7","ctl",1.51512887440715,1.51512887440715,5.29540680668492
"8","ctl",-1.62028626046644,-1.62028626046644,5.49904263849573
"9","trt",9.23181625078547,-0.488889453822904,9.23181625078547
"10","ctl",1.39848736919263,1.39848736919263,8.3830358013513
"11","ctl",0.908763261239296,0.908763261239296,5.10513463720766
"12","trt",4.30942003129562,2.05519203162579,4.30942003129562
"13","trt",5.99601813796877,-1.12748045213164,5.99601813796877
"14","ctl",-12.4612666072624,-12.4612666072624,-11.063188405739
"15","ctl",-11.1482224144272,-11.1482224144272,-10.2003234832435
"16","ctl",1.19638102798943,1.19638102798943,5.24945517546477
"17","trt",6.22169286048013,3.74713942681417,6.22169286048013
"18","ctl",-11.4836695438401,-11.4836695438401,-8.08509802797868
"19","ctl",0.123882338585719,0.123882338585719,6.25441875836674
"20","ctl",1.379151340083,1.379151340083,5.81463918886765
"21","ctl",0.58169143045876,0.58169143045876,5.22734800842263
"22","trt",-8.90100057397715,-11.775194280813,-8.90100057397715
"23","trt",4.93045124364803,0.21474489979651,4.93045124364803
"24","ctl",-0.317294152881914,-0.317294152881914,7.13423260970163
"25","ctl",-0.460988540186879,-0.460988540186879,6.98999890088153
"26","ctl",0.652950513877649,0.652950513877649,5.51743001643918
"27","ctl",4.43907665802931,4.43907665802931,6.55653969179486
"28","ctl",1.03246546211827,1.03246546211827,7.01253456600341
"29","trt",7.64070693801668,-0.262511702702001,7.64070693801668
"30","trt",7.31480348594752,-1.27833829726627,7.31480348594752
"31","ctl",-0.0746054683677742,-0.0746054683677742,7.45592916968559
"32","ctl",1.60724829188127,1.60724829188127,8.24275846549718
"33","ctl",1.19975517047824,1.19975517047824,7.24858360289198
"34","ctl",3.21705452412593,3.21705452412593,6.14922417940195
"35","trt",4.85987075280907,2.62484772275913,4.85987075280907
"36","ctl",1.50835849029647,1.50835849029647,5.86955354001827
"37","ctl",-3.00273934834176,-3.00273934834176,9.12605627880279
"38","trt",6.51293213667734,-0.563349356299758,6.51293213667734
"39","trt",6.62737597363953,13.4112289875722,6.62737597363953
"40","ctl",0.296951333324427,0.296951333324427,7.19958522717555
"41","trt",-3.31870663805989,-7.48945859587937,-3.31870663805989
"42","ctl",1.6214857175308,1.6214857175308,8.41513429581659
"43","ctl",15.0512740485556,15.0512740485556,6.73331055410143
"44","ctl",-6.98912436112445,-6.98912436112445,-5.60202191959749
"45","ctl",-11.3615528180458,-11.3615528180458,-11.034988862728
"46","trt",6.80316389466896,0.902350833893316,6.80316389466896
"47","ctl",1.42308311015951,1.42308311015951,9.10879901703614
"48","trt",6.80318840051275,0.430153423847118,6.80318840051275
"49","ctl",2.1058681041781,2.1058681041781,5.98998023483486
"50","ctl",2.47954322604356,2.47954322604356,6.40352449325702
"51","ctl",-0.0429593148391655,-0.0429593148391655,9.14907257457291
"52","ctl",-1.40201679951425,-1.40201679951425,6.42702742649979
"53","ctl",-0.980664298747114,-0.980664298747114,4.84028676565321
"54","ctl",-1.97486453370863,-1.97486453370863,5.56859031878769
"55","ctl",0.940784302416579,0.940784302416579,6.38867126226802
"56","ctl",28.9670974791514,28.9670974791514,-6.63515034083911
"57","ctl",23.54046491982,23.54046491982,-5.57838535822837
"58","ctl",0.784387753485622,0.784387753485622,7.14741042496543
"59","ctl",-0.222406748701534,-0.222406748701534,5.93973381702256
"60","trt",7.4643865149671,2.08936852348824,7.4643865149671
"61","ctl",-7.79442250800805,-7.79442250800805,-3.13210213388057
"62","ctl",1.43027151316776,1.43027151316776,3.89709963050936
"63","trt",5.61141178340894,3.54310916821825,5.61141178340894
"64","ctl",-10.4163873893886,-10.4163873893886,-6.70588430167088
"65","trt",6.00867164672062,0.0991231440520859,6.00867164672062
"66","ctl",1.39500328077624,1.39500328077624,6.68179364872335
"67","ctl",5.26590551442992,5.26590551442992,12.6098289756436
"68","trt",8.1106292511531,1.67536938333182,8.1106292511531
"69","ctl",1.31357632524331,1.31357632524331,8.38026152871645
"70","ctl",-1.18949592481792,-1.18949592481792,6.05724724598752
"71","ctl",20.2264850717398,20.2264850717398,-6.54051327548343
"72","ctl",0.465347040035061,0.465347040035061,7.02051667372207
"73","ctl",-1.1655664070995,-1.1655664070995,5.69295050377071
"74","ctl",-0.300450165507601,-0.300450165507601,6.03437951540969
"75","ctl",17.1708632388202,17.1708632388202,7.5837698424824
"76","trt",7.20122527013592,-0.443821214600499,7.20122527013592
"77","trt",7.43369091140494,3.54864777689263,7.43369091140494
"78","ctl",2.8880764209692,2.8880764209692,4.14842412788538
"79","ctl",2.47599640079816,2.47599640079816,8.82575394356877
"80","ctl",-0.936708117079176,-0.936708117079176,7.49825972717891
"81","ctl",2.61080841355045,2.61080841355045,7.0448814369583
"82","trt",4.55438731591256,0.144375609753737,4.55438731591256
"83","ctl",1.04954371235705,1.04954371235705,5.05306339496201
"84","ctl",0.0586157913993794,0.0586157913993794,5.43674198541607
"85","ctl",-6.01159764678477,-6.01159764678477,-0.813158383029873
"86","ctl",-11.3638417744929,-11.3638417744929,-9.96387300340604
"87","trt",7.71296771596097,3.03643081907775,7.71296771596097
"88","ctl",2.33987561460489,2.33987561460489,8.29803132081815
"89","ctl",1.31775025579766,1.31775025579766,11.1404836061195
"90","ctl",-12.5723898024466,-12.5723898024466,-7.76649494629851
"91","trt",5.31515784894635,1.89021312602189,5.31515784894635
"92","ctl",1.05045613919216,1.05045613919216,7.53973170348054
"93","ctl",2.41906169121247,2.41906169121247,6.54992019602192
"94","ctl",1.08068696133423,1.08068696133423,6.91159162371129
